Class	Type	Prop	Disabled
AutoDistrictNameStationsSettings	int	postApplyTo	
AutoDistrictNameStationsSettings	int	schoolApplyTo	
AutoDistrictNameStationsSettings	int	shelterApplyTo	
AutoDistrictNameStationsSettings	string	stationFormat	
AutoDistrictNameStationsSettings	int	stationsApplyTo	
AutomaticBulldozeAndRepairSettings	bool	BulldozeAbandoned	
AutomaticBulldozeAndRepairSettings	bool	BulldozeCondemned	
AutomaticBulldozeAndRepairSettings	bool	BulldozeDestroyed	
AutomaticBulldozeAndRepairSettings	bool	BulldozeFlooded	
AutomaticBulldozeAndRepairSettings	bool	EnableAutoBulldoze	
AutomaticBulldozeAndRepairSettings	bool	EnableAutoRepair	
AutomaticBulldozeAndRepairSettings	IntervalType	IntervalType	
AutomaticBulldozeAndRepairSettings	int	NumberOfBuildings	
AutomaticBulldozeAndRepairSettings	bool	ShowCounters	
AutoVehicleRenamerSettings	bool	EnableDefault	
AutoVehicleRenamerSettings	bool	EnableVerbose	
AutoVehicleRenamerSettings	bool	IsDetailedDescriptionsRunning	
AutoVehicleRenamerSettings	bool	IsInGameOrEditor	TRUE
AutoVehicleRenamerSettings	string	Separator	
AutoVehicleRenamerSettings	TextFormatEnum	TextFormat	
BetterBulldozerSettings	bool	AllowRemovingExtensions	
BetterBulldozerSettings	bool	AllowRemovingSubElementNetworks	
BetterBulldozerSettings	bool	AutomaticRemovalBrandingObjects	
BetterBulldozerSettings	bool	AutomaticRemovalFencesAndHedges	
BetterBulldozerSettings	bool	AutomaticRemovalManicuredGrass	
BetterBulldozerSettings	BetterBulldozerUISystem.SelectionMode	PreviousSelectionMode	TRUE
BetterMoonLightSettings	float	AmbientLight	
BetterMoonLightSettings	float	AuroraIntensity	
BetterMoonLightSettings	int	AuroraOverwriteLevel	
BetterMoonLightSettings	bool	Contra	
BetterMoonLightSettings	bool	DoZRotation	
BetterMoonLightSettings	float	MoonDirectionalLight	
BetterMoonLightSettings	float	MoonDiskIntensity	
BetterMoonLightSettings	float	MoonDiskSize	
BetterMoonLightSettings	float	MoonLightAveragerStrength	
BetterMoonLightSettings	bool	MoonLightIntensityBalance	
BetterMoonLightSettings	float	MoonTemperature	
BetterMoonLightSettings	float	NightLightTemperature	
BetterMoonLightSettings	float	NightSkyLight	
BetterMoonLightSettings	bool	OverrideTexture	
BetterMoonLightSettings	bool	OverwriteNightLighting	
BetterMoonLightSettings	string	SelectedTexture	
BetterMoonLightSettings	bool	ShowOptionsInDeveloperPanel	
BetterMoonLightSettings	float	StarfieldEmmisionStrength	
BetterMoonLightSettings	float	ZRotation	
BetterTransitViewSettings	bool	DefaultAirplaneVisible	
BetterTransitViewSettings	bool	DefaultBusVisible	
BetterTransitViewSettings	bool	DefaultCargoVisible	
BetterTransitViewSettings	bool	DefaultShipVisible	
BetterTransitViewSettings	bool	DefaultSubwayVisible	
BetterTransitViewSettings	bool	DefaultTrainVisible	
BetterTransitViewSettings	bool	DefaultTramVisible	
BetterTransitViewSettings	bool	MapModeActivatedByDefault	
BetterTransitViewSettings	bool	ShowAverageWaitTime	
BetterTransitViewSettings	ProxyBinding	ToggleToolBinding	
BeyondNumbersSettings	bool	EnableMoneyTooltip	
BeyondNumbersSettings	bool	HideDate	
BeyondNumbersSettings	bool	HideDemand	
BeyondNumbersSettings	bool	HidePopulation	
BeyondNumbersSettings	bool	HideTime	
BeyondNumbersSettings	bool	ShowMoneyTrendHourly	
BeyondNumbersSettings	bool	ShowMoneyTrendMonthly	
BeyondNumbersSettings	bool	ShowPopTrendHourly	
BeyondNumbersSettings	bool	ShowPopTrendMonthly	
BeyondNumbersSettings	bool	ShowTooltipExpense	
BeyondNumbersSettings	bool	ShowTooltipHourlyValues	
BeyondNumbersSettings	bool	ShowTooltipIncome	
BeyondNumbersSettings	bool	ShowTooltipMonthlyValues	
BeyondNumbersSettings	bool	ShowTooltipNet	
BoundaryLinesModifierSettings	string	CityBorderColor	
BoundaryLinesModifierSettings	float	Length	
BoundaryLinesModifierSettings	string	MapBorderColor	
BoundaryLinesModifierSettings	float	Width	
BrushSizeUnlimiterSettings	bool	BrushPreviewMod	
BrushSizeUnlimiterSettings	int	MakeSureSave	TRUE
BrushSizeUnlimiterSettings	float	MaxBrushSize	
BuildingHeightAndFootprintSettings	HeightUnitKind	HeightUnit	
BuildingHeightAndFootprintSettings	int	SeaLevelOffsetMeters	
BuildingUsageTrackerSettings	bool	showBuildingOccupancy	
BuildingUsageTrackerSettings	bool	showDetailedBuildingOccupancy	
BuildingUsageTrackerSettings	bool	showDetailedEnrouteCimCounts	
BuildingUsageTrackerSettings	bool	showDetailedEnrouteVehicleCounts	
BuildingUsageTrackerSettings	bool	showEnrouteCimCounts	
BuildingUsageTrackerSettings	bool	showEnrouteVehicleCounts	
BuildingUseSettings	bool	ColorSpecializedIndustryLots	
BuildingUseSettings	bool	CountVehiclesInMaintenance	
BuildingUseSettings	bool	CountVehiclesInUse	
BuildingUseSettings	bool	EfficiencyMaxColor200Percent	
BuildingUseSettings	ProductionInfoviewColorChoice	ProductionInfoviewColor	
BuildingUseSettings	bool	ProductionMaxColor200Percent	
BuildingUseSettings	bool	ReverseColors	
BuildingUseSettings	ServiceBuildingColorChoice	ServiceBuildingColor	
BuildingUseSettings	ZonedBuildingColorChoice	ZonedBuildingColor	
CameraDragSettings	ButtonMode	AllowLeftMouseButton	
CameraDragSettings	ButtonMode	AllowMiddleMouseButton	
CameraDragSettings	ButtonMode	AllowRightMouseButton	
CameraDragSettings	float	Sensitivity	
CameraDragSettings	float	Smoothing	
CameraFieldOfViewSettings	int	FieldOfView	
CartoSettings	string	CustomDirectory	
CartoSettings	string	CustomNamingFormat	
CartoSettings	IO.GeoTiffFormat	ExportGeoTiffFormat	
CartoSettings	IO.NamingFormat	ExportNamingFormat	
CartoSettings	int	ExportVectorFormat	
CartoSettings	bool	FeatureBuilding	
CartoSettings	bool	FeatureDistrict	
CartoSettings	bool	FeatureExtractor	
CartoSettings	bool	FeatureLandfill	
CartoSettings	bool	FeatureMapTile	
CartoSettings	bool	FeaturePathway	
CartoSettings	bool	FeaturePOIPrivate	
CartoSettings	bool	FeaturePOIPublic	
CartoSettings	bool	FeaturePOITransport	
CartoSettings	bool	FeaturePOIUtility	
CartoSettings	bool	FeatureRoad	
CartoSettings	bool	FeatureRouteCargo	
CartoSettings	bool	FeatureRoutePassenger	
CartoSettings	bool	FeatureRunwayAndTaxiway	
CartoSettings	bool	FeatureTerrain	
CartoSettings	bool	FeatureTrack	
CartoSettings	bool	FeatureWater	
CartoSettings	bool	FeatureWaterway	
CartoSettings	bool	GeometryBoundaryArea	
CartoSettings	bool	GeometryBoundaryBuilding	
CartoSettings	bool	GeometryBoundaryNetwork	
CartoSettings	bool	GeometryBoundaryZoning	
CartoSettings	bool	GeometryCenterlineNetwork	
CartoSettings	bool	GeometryCenterlineRoute	
CartoSettings	bool	GeometryDepthWater	
CartoSettings	bool	GeometryElevationTerrain	
CartoSettings	bool	GeometryInactiveRoute	
CartoSettings	bool	GeometryLocationPOI	
CartoSettings	bool	GeometrySeparateServiceUpgrade	
CartoSettings	bool	GeometryUnzoned	
CartoSettings	bool	GeometryWorldDepthWater	
CartoSettings	bool	GeometryWorldElevationTerrain	
CartoSettings	bool	OutputElevation	
CartoSettings	bool	OutputMinimizedGeoJSON	
CartoSettings	bool	PlayCompletionSound	
CartoSettings	int	PropertiesSystemSelector	
CartoSettings	bool	PropertyAddressBuilding	
CartoSettings	bool	PropertyAddressPOI	
CartoSettings	bool	PropertyAgeArea	
CartoSettings	bool	PropertyAgeBuilding	
CartoSettings	bool	PropertyAreaArea	
CartoSettings	bool	PropertyAssetBuilding	
CartoSettings	bool	PropertyAssetNetwork	
CartoSettings	bool	PropertyBrandBuilding	
CartoSettings	bool	PropertyCategoryBuilding	
CartoSettings	IO.Display	PropertyCategoryBuildingDisplayMode	
CartoSettings	bool	PropertyCategoryNetwork	
CartoSettings	IO.Display	PropertyCategoryNetworkDisplayMode	
CartoSettings	bool	PropertyCategoryPOI	
CartoSettings	IO.Display	PropertyCategoryPOIDisplayMode	
CartoSettings	IO.RoadClassification	PropertyCategoryRoadClassification	
CartoSettings	bool	PropertyColorRoute	
CartoSettings	bool	PropertyColorZcc	
CartoSettings	bool	PropertyColorZoning	
CartoSettings	bool	PropertyCompanyArea	
CartoSettings	bool	PropertyDensityZoning	
CartoSettings	bool	PropertyDirectionNetwork	
CartoSettings	bool	PropertyElevationBuilding	
CartoSettings	bool	PropertyElevationNetwork	
CartoSettings	bool	PropertyEmployeeArea	
CartoSettings	bool	PropertyEmployeeBuilding	
CartoSettings	bool	PropertyFormNetwork	
CartoSettings	bool	PropertyGeneralHomeless	
CartoSettings	bool	PropertyGeneralMapTileStatistics	
CartoSettings	bool	PropertyHouseholdArea	
CartoSettings	bool	PropertyHouseholdBuilding	
CartoSettings	bool	PropertyLaborArea	
CartoSettings	bool	PropertyLaborBuilding	
CartoSettings	bool	PropertyLaneNetwork	
CartoSettings	bool	PropertyLengthNetwork	
CartoSettings	bool	PropertyLengthRoute	
CartoSettings	bool	PropertyLevelBuilding	
CartoSettings	bool	PropertyLimitNetwork	
CartoSettings	bool	PropertyModelRoute	
CartoSettings	bool	PropertyNameArea	
CartoSettings	bool	PropertyNameBuilding	
CartoSettings	bool	PropertyNameNetwork	
CartoSettings	bool	PropertyNamePOI	
CartoSettings	bool	PropertyNameRoute	
CartoSettings	bool	PropertyNameZoning	
CartoSettings	bool	PropertyObjectArea	
CartoSettings	bool	PropertyObjectBuilding	
CartoSettings	bool	PropertyObjectNetwork	
CartoSettings	bool	PropertyObjectPOI	
CartoSettings	bool	PropertyObjectRoute	
CartoSettings	bool	PropertyObjectZoning	
CartoSettings	bool	PropertyPassengerPet	
CartoSettings	bool	PropertyPassengerRoute	
CartoSettings	bool	PropertyProductBuilding	
CartoSettings	bool	PropertyProfitArea	
CartoSettings	bool	PropertyProfitBuilding	
CartoSettings	bool	PropertyResidentArea	
CartoSettings	bool	PropertyResidentBuilding	
CartoSettings	bool	PropertyResidentSeparateBySex	
CartoSettings	bool	PropertyRouteRoute	
CartoSettings	bool	PropertyRouteXtm	
CartoSettings	bool	PropertySexRatioArea	
CartoSettings	bool	PropertySexRatioBuilding	
CartoSettings	bool	PropertyStopRoute	
CartoSettings	bool	PropertyThemeAssetPack	
CartoSettings	bool	PropertyThemeBuilding	
CartoSettings	bool	PropertyThemeZoning	
CartoSettings	bool	PropertyTransportRoute	
CartoSettings	bool	PropertyUnlockedArea	
CartoSettings	bool	PropertyUsageRoute	
CartoSettings	bool	PropertyVehicleRoute	
CartoSettings	bool	PropertyVolumeNetwork	
CartoSettings	bool	PropertyWageArea	
CartoSettings	bool	PropertyWageBuilding	
CartoSettings	bool	PropertyWageTaxable	
CartoSettings	bool	PropertyWeightRoute	
CartoSettings	bool	PropertyWidthNetwork	
CartoSettings	bool	PropertyZoneBuilding	
CartoSettings	bool	PropertyZoningBuilding	
CartoSettings	IO.Display	PropertyZoningDisplayMode	
CartoSettings	bool	PropertyZoningZoning	
CartoSettings	bool	ShowCompletionDialog	
CartoSettings	IO.CRS	SourceCRS	
CartoSettings	string	SourceCRSFalseEasting	
CartoSettings	string	SourceCRSFalseNorthing	
CartoSettings	string	SourceCRSOriginLatitude	
CartoSettings	string	SourceCRSOriginLongitude	
CartoSettings	string	SourceCRSScaleFactor	
CartoSettings	string	SourceCRSTransform	
CartoSettings	IO.Ellipsoid	SourceEllipsoid	
CartoSettings	string	SourceEllipsoidInverseFlattening	
CartoSettings	string	SourceEllipsoidSemiMajorAxis	
CartoSettings	Geodata.Hemisphere	SourceHemisphere	
CartoSettings	string	SourceUTMZone	
CartoSettings	string	SourceXCoord	
CartoSettings	string	SourceYCoord	
CartoSettings	bool	SystemArea	
CartoSettings	bool	SystemBuilding	
CartoSettings	bool	SystemNetwork	
CartoSettings	bool	SystemPOI	
CartoSettings	bool	SystemRoute	
CartoSettings	bool	SystemZoning	
ChangeCompanySettings	bool	KeepWorkplacesOverrideAfterChange	
ChangeCompanySettings	bool	LockAfterChange	
ChangeCompanySettings	bool	LockAllCompanies	
ChangeCompanySettings	ProxyBinding	ProductionBalanceActivationKey	
ChangeCompanySettings	int	ProductionBalanceCheckIntervalIndustrial	
ChangeCompanySettings	int	ProductionBalanceCheckIntervalOffice	
ChangeCompanySettings	bool	ProductionBalanceEnabledIndustrial	
ChangeCompanySettings	bool	ProductionBalanceEnabledOffice	
ChangeCompanySettings	bool	ProductionBalanceHideActivationButton	
ChangeCompanySettings	int	ProductionBalanceMaximumCompanyProductionIndustrial	
ChangeCompanySettings	int	ProductionBalanceMaximumCompanyProductionOffice	
ChangeCompanySettings	int	ProductionBalanceMinimumCompaniesIndustrial	
ChangeCompanySettings	int	ProductionBalanceMinimumCompaniesOffice	
ChangeCompanySettings	int	ProductionBalanceMinimumStandardDeviationIndustrial	
ChangeCompanySettings	int	ProductionBalanceMinimumStandardDeviationOffice	
ChangeCompanySettings	int	ProductionBalancePanelPositionX	
ChangeCompanySettings	int	ProductionBalancePanelPositionY	
ChangeCompanySettings	bool	ProductionBalancePanelVisible	
ChangeCompanySettings	int	WorkplacesOverrideValue	TRUE
ChirpGPTSettings	int	CacheSlider	
ChirpGPTSettings	OptionFrequency	Cursing	
ChirpGPTSettings	CompletionProviderEnum	EnumDropdown	
ChirpGPTSettings	int	FrequencySlider	
ChirpGPTSettings	string	GoogleaiAPIKey	TRUE
ChirpGPTSettings	string	GoogleaiAPIkeyEncrypted	TRUE
ChirpGPTSettings	OptionFrequency	Hashtags	
ChirpGPTSettings	string	Keywords	
ChirpGPTSettings	string	MistralAPIKey	TRUE
ChirpGPTSettings	string	MistralAPIkeyEncrypted	TRUE
ChirpGPTSettings	OptionFrequency	SelfAware	
ChirpGPTSettings	int	UsesSlider	
CimRouteHighlighterSettings	bool	highlightDestinations	
CimRouteHighlighterSettings	bool	highlightEmployeeCommuters	
CimRouteHighlighterSettings	bool	highlightEmployeeResidences	
CimRouteHighlighterSettings	bool	highlightRoutes	
CimRouteHighlighterSettings	bool	highlightSelected	
CimRouteHighlighterSettings	bool	highlightSelectedTransitVehiclePassengerRoutes	
CimRouteHighlighterSettings	bool	highlightStudentResidences	
CimRouteHighlighterSettings	bool	highlightWorkplaces	
CimRouteHighlighterSettings	bool	incomingRoutes	
CimRouteHighlighterSettings	bool	incomingRoutesTransit	
CimRouteHighlighterSettings	float	pedestrianRouteWidth	
CimRouteHighlighterSettings	float	routeOpacity	
CimRouteHighlighterSettings	float	routeOpacityMultilier	
CimRouteHighlighterSettings	bool	showCountsOnInfoPanel	
CimRouteHighlighterSettings	bool	showToolIconsInUI	
CimRouteHighlighterSettings	int	threadBatchSize	
CimRouteHighlighterSettings	ProxyBinding	toggleAllBinding	
CimRouteHighlighterSettings	ProxyBinding	toggleBuildingsBinding	
CimRouteHighlighterSettings	ProxyBinding	togglePathDisplayBinding	
CimRouteHighlighterSettings	ProxyBinding	toggleRouteToolBinding	
CimRouteHighlighterSettings	float	vehicleRouteWidth	
CitizenModelManagerSettings	string	Adult_Female_Cold	
CitizenModelManagerSettings	string	Adult_Female_Homeless	
CitizenModelManagerSettings	string	Adult_Female_Warm	
CitizenModelManagerSettings	string	Adult_Male_Cold	
CitizenModelManagerSettings	string	Adult_Male_Homeless	
CitizenModelManagerSettings	string	Adult_Male_Warm	
CitizenModelManagerSettings	string	Child_Female_Cold	
CitizenModelManagerSettings	string	Child_Female_Warm	
CitizenModelManagerSettings	string	Child_Male_Cold	
CitizenModelManagerSettings	string	Child_Male_Warm	
CitizenModelManagerSettings	string	Elderly_Female_Cold	
CitizenModelManagerSettings	string	Elderly_Female_Homeless	
CitizenModelManagerSettings	string	Elderly_Female_Warm	
CitizenModelManagerSettings	string	Elderly_Male_Cold	
CitizenModelManagerSettings	string	Elderly_Male_Homeless	
CitizenModelManagerSettings	string	Elderly_Male_Warm	
CitizenModelManagerSettings	int	SetVersion	TRUE
CitizenModelManagerSettings	string	Teen_Female_Cold	
CitizenModelManagerSettings	string	Teen_Female_Warm	
CitizenModelManagerSettings	string	Teen_Male_Cold	
CitizenModelManagerSettings	string	Teen_Male_Warm	
CityControllerSettings	bool	AchievementsEnabled	
CityControllerSettings	ProxyBinding	AddMoneyKeyboardBinding	
CityControllerSettings	bool	AutomaticAddMoney	
CityControllerSettings	int	AutomaticAddMoneyAmount	
CityControllerSettings	int	AutomaticAddMoneyThreshold	
CityControllerSettings	bool	BuildingAbandonedCollapsedNotification	
CityControllerSettings	bool	BuildingAbandonedNotification	
CityControllerSettings	bool	BuildingCondemnedNotification	
CityControllerSettings	bool	BuildingHighRentNotification	
CityControllerSettings	bool	BuildingTurnedOffNotification	
CityControllerSettings	bool	CompanyNoCustomersNotification	
CityControllerSettings	bool	CompanyNoInputsNotification	
CityControllerSettings	bool	CustomMilestone	
CityControllerSettings	ProxyBinding	DebugKeyboardBinding	
CityControllerSettings	bool	DisasterDestroyedNotification	
CityControllerSettings	bool	DisasterWaterDamageNotification	
CityControllerSettings	bool	DisasterWaterDestroyedNotification	
CityControllerSettings	bool	DisasterWeatherDamageNotification	
CityControllerSettings	bool	DisasterWeatherDestroyedNotification	
CityControllerSettings	bool	ElectricityBatteryEmptyNotification	
CityControllerSettings	bool	ElectricityBottleneckNotification	
CityControllerSettings	bool	ElectricityBuildingBottleneckNotification	
CityControllerSettings	bool	ElectricityElectricityNotification	
CityControllerSettings	bool	ElectricityHighVoltageNotConnected	
CityControllerSettings	bool	ElectricityLowVoltageNotConnected	
CityControllerSettings	bool	ElectricityNotEnoughConnectedNotification	
CityControllerSettings	bool	ElectricityNotEnoughProductionNotification	
CityControllerSettings	bool	ElectricityTransformerNotification	
CityControllerSettings	bool	FireBurnedDownNotification	
CityControllerSettings	bool	FireFireNotification	
CityControllerSettings	bool	GarbageFacilityFullNotification	
CityControllerSettings	bool	GarbageGarbageNotification	
CityControllerSettings	bool	HealthcareAmbulanceNotification	
CityControllerSettings	bool	HealthcareFacilityFullNotification	
CityControllerSettings	bool	HealthcareHearseNotification	
CityControllerSettings	int	InitialMoney	
CityControllerSettings	int	ManualMoneyAmount	
CityControllerSettings	int	MilestoneLevel	
CityControllerSettings	NotificationSetting	Notification	TRUE
CityControllerSettings	class	NotificationSetting	TRUE
CityControllerSettings	bool	PoliceCrimeSceneNotification	
CityControllerSettings	bool	PoliceTrafficAccidentNotification	
CityControllerSettings	bool	PollutionAirPollutionNotification	
CityControllerSettings	bool	PollutionGroundPollutionNotification	
CityControllerSettings	bool	PollutionNoisePollutionNotification	
CityControllerSettings	bool	ResourceConsumerNoResourceNotification	
CityControllerSettings	bool	RoutePathfindNotification	
CityControllerSettings	ProxyBinding	SubtractMoneyKeyboardBinding	
CityControllerSettings	bool	TrafficBottleneckNotification	
CityControllerSettings	bool	TrafficCarConnectionNotification	
CityControllerSettings	bool	TrafficDeadEndNotification	
CityControllerSettings	bool	TrafficPedestrianConnectionNotification	
CityControllerSettings	bool	TrafficRoadConnectionNotification	
CityControllerSettings	bool	TrafficShipConnectionNotification	
CityControllerSettings	bool	TrafficTrackConnectionNotification	
CityControllerSettings	bool	TrafficTrainConnectionNotification	
CityControllerSettings	bool	TransportLineVehicleNotification	
CityControllerSettings	bool	WaterPipeDirtyWaterNotification	
CityControllerSettings	bool	WaterPipeDirtyWaterPumpNotification	
CityControllerSettings	bool	WaterPipeNotEnoughGroundwaterNotification	
CityControllerSettings	bool	WaterPipeNotEnoughSewageCapacityNotification	
CityControllerSettings	bool	WaterPipeNotEnoughSurfaceWaterNotification	
CityControllerSettings	bool	WaterPipeNotEnoughWaterCapacityNotification	
CityControllerSettings	bool	WaterPipeSewageNotification	
CityControllerSettings	bool	WaterPipeSewagePipeNotConnectedNotification	
CityControllerSettings	bool	WaterPipeWaterNotification	
CityControllerSettings	bool	WaterPipeWaterPipeNotConnectedNotification	
CityControllerSettings	bool	WorkProviderEducatedNotification	
CityControllerSettings	bool	WorkProviderUneducatedNotification	
CityServiceCapacityAdjusterSettings	int	CarForbiddenCostSlider	
CityServiceCapacityAdjusterSettings	int	CargoTruckSlider	
CityServiceCapacityAdjusterSettings	int	CarLaneCrossCostSlider	
CityServiceCapacityAdjusterSettings	int	CarUnsafeTurningCostSlider	
CityServiceCapacityAdjusterSettings	int	CarUnsafeUTurnCostSlider	
CityServiceCapacityAdjusterSettings	int	CarUTurnCostSlider	
CityServiceCapacityAdjusterSettings	float	CollegeSlider	
CityServiceCapacityAdjusterSettings	float	CrematoriumCapcitySlider	
CityServiceCapacityAdjusterSettings	float	CrematoriumHearseSlider	
CityServiceCapacityAdjusterSettings	float	CrematoriumSpeedSlider	
CityServiceCapacityAdjusterSettings	float	DepotCapacityBusSlider	
CityServiceCapacityAdjusterSettings	float	DepotCapacitySubwaySlider	
CityServiceCapacityAdjusterSettings	float	DepotCapacityTaxiSlider	
CityServiceCapacityAdjusterSettings	float	DepotCapacityTrainSlider	
CityServiceCapacityAdjusterSettings	float	DepotCapacityTramSlider	
